iter	Passed	Remaining
436	1383	1782
437	1386	1779
438	1389	1776
439	1394	1774
440	1396	1770
441	1398	1765
442	1402	1763
443	1404	1759
444	1407	1754
445	1409	1750
446	1411	1746
447	1413	1741
448	1416	1737
449	1418	1734
450	1420	1729
451	1422	1725
452	1425	1720
453	1427	1716
454	1430	1713
455	1432	1709
456	1437	1708
457	1440	1704
458	1442	1700
459	1444	1696
460	1446	1691
461	1449	1688
462	1451	1684
463	1454	1679
464	1456	1675
465	1458	1671
466	1460	1667
467	1462	1662
468	1464	1658
469	1468	1655
470	1471	1652
471	1473	1648
472	1476	1645
473	1479	1642
474	1482	1638
475	1486	1636
476	1488	1631
477	1491	1628
478	1493	1624
479	1499	1624
480	1501	1620
481	1505	1617
482	1509	1615
483	1511	1611
484	1514	1607
485	1517	1604
486	1520	1601
487	1525	1600
488	1527	1596
489	1534	1596
490	1537	1593
491	1541	1591
492	1544	1587
493	1547	1584
494	1551	1582
495	1553	1578
496	1555	1574
497	1557	1570
498	1561	1567
499	1564	1564
500	1566	1560
501	1568	1556
502	1573	1554
503	1575	1550
504	1577	1546
505	1579	1541
506	1582	1538
507	1584	1534
508	1587	1531
509	1590	1527
510	1592	1523
511	1598	1523
512	1600	1519
513	1604	1516
514	1606	1512
515	1608	1509
516	1610	1505
517	1616	1503
518	1618	1499
519	1620	1496
520	1622	1492
521	1624	1487
522	1627	1484
523	1630	1481
524	1634	1478
525	1636	1474
526	1638	1470
527	1641	1466
528	1642	1462
529	1645	1459
530	1648	1455
531	1653	1454
532	1656	1451
533	1658	1446
534	1659	1442
535	1663	1440
536	1665	1435
537	1668	1432
538	1670	1429
539	1673	1425
540	1675	1421
541	1677	1417
542	1680	1414
543	1685	1412
544	1687	1408
545	1689	1404
546	1691	1400
547	1695	1398
548	1697	1394
549	1699	1390
550	1701	1386
551	1703	1382
552	1705	1378
553	1708	1375
554	1711	1372
555	1713	1368
556	1716	1364
557	1717	1360
558	1719	1356
559	1721	1352
560	1723	1348
561	1725	1344
562	1728	1341
563	1730	1337
564	1732	1334
565	1734	1330
566	1737	1326
567	1740	1323
568	1743	1320
569	1745	1316
570	1747	1313
571	1750	1309
572	1752	1305
573	1755	1302
574	1757	1298
575	1760	1295
576	1763	1292
577	1765	1288
578	1768	1285
579	1770	1282
580	1773	1278
581	1776	1275
582	1778	1271
583	1779	1267
584	1782	1264
585	1784	1260
586	1786	1257
587	1789	1253
588	1793	1251
589	1795	1247
590	1798	1244
591	1802	1242
592	1805	1239
593	1810	1237
594	1812	1233
595	1815	1230
596	1820	1229
597	1827	1228
598	1830	1225
599	1835	1223
600	1843	1223
601	1851	1223
602	1858	1223
603	1866	1223
604	1872	1222
605	1878	1221
606	1886	1221
607	1893	1221
608	1901	1220
609	1903	1217
610	1909	1215
611	1916	1215
612	1919	1212
613	1924	1209
614	1927	1206
615	1934	1205
616	1938	1203
617	1943	1201
618	1945	1197
619	1949	1194
620	1952	1191
621	1958	1190
622	1964	1188
623	1969	1186
624	1977	1186
625	1980	1183
626	1983	1180
627	1988	1177
628	1992	1175
629	1994	1171
630	1999	1169
631	2004	1167
632	2007	1164
633	2010	1160
634	2013	1157
635	2016	1154
636	2020	1151
637	2026	1149
638	2032	1148
639	2039	1147
640	2043	1144
641	2049	1142
642	2053	1140
643	2058	1137
644	2060	1134
645	2064	1131
646	2067	1128
647	2072	1125
648	2076	1123
649	2080	1120
650	2084	1117
651	2089	1115
652	2094	1113
653	2098	1110
654	2101	1106
655	2109	1106
656	2112	1102
657	2116	1099
658	2121	1097
659	2124	1094
660	2126	1090
661	2130	1087
662	2133	1084
663	2139	1082
664	2141	1078
665	2147	1076
666	2150	1073
667	2156	1071
668	2159	1068
669	2162	1065
670	2166	1062
671	2171	1059
672	2175	1057
673	2179	1054
674	2183	1051
675	2187	1048
676	2193	1046
677	2197	1043
678	2201	1040
679	2205	1037
680	2210	1035
681	2214	1032
682	2220	1030
683	2225	1028
684	2228	1024
685	2232	1021
686	2237	1019
687	2240	1016
688	2243	1012
689	2246	1009
690	2250	1006
691	2254	1003
692	2259	1000
693	2261	997
694	2266	994
695	2268	991
696	2271	987
697	2274	984
698	2278	981
699	2282	978
700	2285	975
701	2289	971
702	2292	968
703	2295	965
704	2299	962
705	2302	958
706	2304	955
707	2308	951
708	2310	948
709	2312	944
710	2315	941
711	2320	938
712	2323	935
713	2325	931
714	2328	928
715	2332	924
716	2334	921
717	2340	919
718	2342	915
719	2345	911
720	2350	909
721	2352	905
722	2354	902
723	2356	898
724	2358	894
725	2360	890
726	2362	887
727	2364	883
728	2366	879
729	2368	875
730	2370	872
731	2372	868
732	2374	864
733	2376	861
734	2382	859
735	2384	855
736	2387	852
737	2389	848
738	2391	844
739	2394	841
740	2397	838
741	2399	834
742	2402	830
743	2404	827
744	2406	823
745	2408	819
746	2411	816
747	2414	813
748	2418	810
749	2422	807
750	2424	803
751	2441	805
752	2445	802
753	2450	799
754	2453	796
755	2457	793
756	2462	790
757	2465	787
758	2470	784
759	2473	780
760	2475	777
761	2479	774
762	2482	771
763	2485	767
764	2488	764
765	2493	761
766	2496	758
767	2500	755
768	2503	752
769	2507	748
770	2511	745
771	2514	742
772	2517	739
773	2519	735
774	2521	732
775	2525	729
776	2529	726
777	2533	723
778	2536	719
779	2539	716
780	2544	713
781	2549	710
782	2551	707
783	2553	703
784	2555	699
785	2560	697
786	2564	694
787	2567	690
788	2569	687
789	2572	683
790	2575	680
791	2578	677
792	2581	673
793	2584	670
794	2586	667
795	2589	663
796	2592	660
797	2595	656
798	2597	653
799	2602	650
800	2604	647
801	2609	644
802	2611	640
803	2613	637
804	2615	633
805	2617	630
806	2620	626
807	2623	623
808	2625	619
809	2627	616
810	2630	612
811	2632	609
812	2635	606
813	2640	603
814	2642	599
815	2644	596
816	2646	592
817	2647	589
818	2649	585
819	2651	582
820	2654	578
821	2657	575
822	2659	571
823	2661	568
824	2663	564
825	2665	561
826	2666	557
827	2669	554
828	2672	551
829	2674	547
830	2676	544
831	2678	540
832	2680	537
833	2683	534
834	2688	531
835	2690	527
836	2692	524
837	2695	521
838	2697	517
839	2699	514
840	2701	510
841	2704	507
842	2706	504
843	2708	500
844	2710	497
845	2712	493
846	2715	490
847	2718	487
848	2721	483
849	2723	480
850	2726	477
851	2728	474
852	2730	470
853	2733	467
854	2738	464
855	2740	460
856	2742	457
857	2750	455
858	2757	452
859	2761	449
860	2763	446
861	2765	442
862	2770	439
863	2775	436
864	2777	433
865	2779	430
866	2781	426
867	2783	423
868	2787	420
869	2790	416
870	2794	413
871	2798	410
872	2802	407
873	2804	404
874	2807	401
875	2811	397
876	2814	394
877	2817	391
878	2819	388
879	2821	384
880	2824	381
881	2826	378
882	2829	374
883	2831	371
884	2837	368
885	2840	365
886	2842	362
887	2844	358
888	2847	355
889	2849	352
890	2851	348
891	2854	345
892	2856	342
893	2858	338
894	2860	335
895	2865	332
896	2867	329
897	2869	325
898	2872	322
899	2874	319
900	2877	316
901	2880	312
902	2885	309
903	2890	306
904	2896	304
905	2900	300
906	2903	297
907	2907	294
908	2910	291
909	2916	288
910	2918	285
911	2922	282
912	2928	279
913	2933	276
914	2936	272
915	2938	269
916	2942	266
917	2947	263
918	2951	260
919	2955	256
920	2958	253
921	2961	250
922	2966	247
923	2971	244
924	2978	241
925	2981	238
926	2986	235
927	2989	231
928	2990	228
929	2992	225
930	2994	221
931	2998	218
932	3000	215
933	3002	212
934	3004	208
935	3007	205
936	3010	202
937	3013	199
938	3015	195
939	3018	192
940	3020	189
941	3022	186
942	3024	182
943	3026	179
944	3029	176
945	3033	173
946	3035	169
947	3039	166
948	3041	163
949	3044	160
950	3047	157
951	3049	153
952	3051	150
953	3053	147
954	3055	143
955	3057	140
956	3059	137
957	3064	134
958	3072	131
959	3083	128
960	3090	125
961	3097	122
962	3103	119
963	3106	116
964	3109	112
965	3112	109
966	3117	106
967	3119	103
968	3124	99
969	3128	96
970	3131	93
971	3134	90
972	3136	87
973	3138	83
974	3141	80
975	3145	77
976	3147	74
977	3150	70
978	3152	67
979	3157	64
980	3159	61
981	3161	57
982	3164	54
983	3169	51
984	3171	48
985	3173	45
986	3175	41
987	3178	38
988	3180	35
989	3182	32
990	3184	28
991	3186	25
992	3188	22
993	3190	19
994	3197	16
995	3201	12
996	3209	9
997	3216	6
998	3220	3
999	3223	0
